soggetto,ruolo,ente,categoria,partito,posizione,motivazione,periodo,eventi
Paride Martella,Presidente della Provincia di Latina (1995-2004),Provincia di Latina,politico,centrodestra,FAVOREVOLE,Nel 1995/96 lancia per primo l'idea di affiancare un uso civile all'aeroporto militare Comani. Origine del dibattito.,1995-1996,EV-1995-001
"Senatori proponenti XIII leg. (Pedrizzi, Reccia, Moro, Morena, Lisi, Florino, Curto, Pace, Battaglia, De Santis, Pontone)",Senatori (per lo più Alleanza Nazionale),Senato della Repubblica,politico,Alleanza Nazionale (e altri),FAVOREVOLE,"3 dic 1996: emendamenti alla finanziaria per dare priorità all'aeroporto di Latina come scalo ausiliario/complementare a Fiumicino e Ciampino, legato a Centro Intermodale e Cisterna-Valmontone.",1996,EV-1996-001
Michela Califano,Consigliera regionale Lazio,Consiglio Regionale del Lazio,politico,Partito Democratico,FAVOREVOLE,Prima firmataria (con Forte) della mozione 42/2018 per individuare il Comani come scalo low cost.,2018,EV-2018-001
Enrico Forte,Consigliere regionale Lazio,Consiglio Regionale del Lazio,politico,Partito Democratico,FAVOREVOLE,"Firmatario della mozione 42/2018 e, nel 2020, della mozione bipartisan con Simeone per il terzo aeroporto regionale a Latina.",2018-2020,EV-2018-001 | EV-2020-003
Giuseppe Simeone,"Capogruppo regionale, Consigliere",Consiglio Regionale del Lazio,politico,Forza Italia,FAVOREVOLE,"Co-firmatario (con Forte, PD) della mozione bipartisan 2020: Latina 'ideale' per il terzo scalo viste le criticità di Fiumicino e Ciampino.",2020,EV-2020-003
Claudio Fazzone,"Senatore, coordinatore regionale Lazio",Senato della Repubblica,politico,Forza Italia,FAVOREVOLE,Interrogazione 2019: convertire il Comani in terzo scalo commerciale (low cost/charter/cargo) e bloccare il trasferimento del 70° Stormo; Latina 'meglio attrezzata' e a 'minori spese'.,2019,EV-2019-001 | EV-2019-002
Francesco Rocca,Presidente della Regione Lazio,Regione Lazio,ente pubblico / politico,centrodestra (indip.),AMBIVALENTE-MUTEVOLE,"Feb 2025: apertura condizionata ('deve esserci un mercato'). Fine 2025/2026: ribaltamento — Latina/Frosinone 'non credibili', crescita via quarta pista di Fiumicino.",2025-2026,EV-2025-001 | EV-2026-001
Nicola Procaccini,Esponente / europarlamentare,Fratelli d'Italia,politico,Fratelli d'Italia,FAVOREVOLE,"Posizione favorevole in fase iniziale (ott. 2019), poi mutata a livello di partito.",2019,EV-2019-003
Fratelli d'Italia (Latina),Partito politico (sezione locale/regionale),Fratelli d'Italia,partito,Fratelli d'Italia,AMBIVALENTE-MUTEVOLE,"Favorevole (2019) → propone studio di fattibilità (giu. 2020) → contrario (mar. 2021: 'non è una priorità', prima strade e ferrovie) → successivi segnali di nuovo favorevoli.",2019-2021,EV-2019-003 | EV-2020-001 | EV-2021-001
Enrico Tiero,Vice-coordinatore/vice-portavoce regionale,Fratelli d'Italia,politico,Fratelli d'Italia,CONTRARIO,"Mar 2021: l'aeroporto civile 'non è assolutamente una priorità'; prima la Pontina, la ferrovia, i collegamenti stradali.",2021,EV-2021-001
